City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
528,Lodja,CD,78.48,-3.4833,23.4333,
529,La Ronge,CA,76.78,55.1001,-105.2842,Northland Motor Hotel
532,Manacapuru,BR,81.18,-3.2997,-60.6206,Novo Hotel
535,Jiaojiang,CN,78.3,28.6803,121.4428,Jiaojiang Hotel
539,Blackfoot,US,89.73,43.1905,-112.345,Super 8 by Wyndham Blackfoot
541,Port Antonio,JM,85.91,18.18,-76.4612,The Trident Hotel
544,Moyotzingo,MX,75.22,19.25,-98.4,Hotel Casa Italiana
548,Salinopolis,BR,79.18,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
551,Sao Gabriel Da Cachoeira,BR,83.43,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
557,Halifax,CA,82.0,44.6453,-63.5724,Hotel Halifax
559,Iquitos,PE,87.84,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
563,Marzuq,YE,83.75,14.4,46.4667,
568,Hobyo,SO,77.22,5.3505,48.5268,Halane Hotel and Restaurent
576,Carutapera,BR,76.23,-1.195,-46.02,Lidera
577,Banjar,ID,78.66,-8.19,114.9675,The Hamsa Resort
582,Waingapu,ID,75.13,-9.6567,120.2641,Pondok Wisata Elim
584,Grand-Santi,GF,76.26,4.25,-54.3833,Hotel La Villa Couacou
585,Shetpe,KZ,78.93,44.1667,52.1167,Rtsm Shetpe Analog
587,Dhanera,IN,82.22,24.5167,72.0167,Umiyaji tilesh & senetry
594,Salalah,OM,75.24,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
597,Forio,IT,83.44,40.7342,13.8646,Hotel Terme Providence
599,Mitsamiouli,KM,77.04,-11.3847,43.2844,Foyer ADM
603,Shenjiamen,CN,78.33,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
606,Concepcion Del Oro,MX,75.16,24.6333,-101.4167,Hotel Hacienda San Javier
608,Padang,ID,77.32,-0.9492,100.3543,Mercure Padang
612,Ishigaki,JP,83.3,24.3448,124.1572,Hotel Peace Land Ishigakijima
614,Conakry,GN,76.35,9.538,-13.6773,Riviera Royal Hotel
618,Santa Maria Da Vitoria,BR,80.64,-13.3947,-44.1886,Pousada Rio Current
619,Madras,IN,82.38,13.0878,80.2785,City home
620,Marathon,US,81.93,44.9,-89.7668,
622,Roma,US,77.38,43.2128,-75.4557,Wingate By Wyndham Rome
623,Najran,SA,86.27,17.4924,44.1277,محمد هادي ال فطيح
624,Leua,SK,77.11,48.2156,18.6071,Business Hotel ASTRUM Laus
626,Barra,BR,80.15,-11.0894,-43.1417,Motel Albatroz
627,Rolla,US,84.24,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
628,Mirabad,AF,81.79,30.4362,61.8383,
630,Ligayan,PH,83.07,4.6533,119.4706,
632,Panaba,MX,80.76,21.2833,-88.2667,Posada rosario
634,Tonantins,BR,81.93,-2.8731,-67.8022,Hotel Rei Davi
638,Kudahuvadhoo,MV,82.13,2.6708,72.8944,Niyama Private Islands Maldives
640,Bontang,ID,77.34,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
642,Latung,PH,81.79,5.5,120.8833,
643,Gurupa,BR,80.67,-1.405,-51.64,Residencial DWD
644,Namatanai,PG,79.61,-3.6667,152.4333,Seagulls Inn Namatani
650,Kilis,TR,79.03,36.7161,37.115,Kilis Konağı Butik Otel
652,Sartell,US,90.0,45.6216,-94.2069,AmericInn by Wyndham Sartell
656,Kerman,IR,80.04,30.2832,57.0788,هتل آپارتمان آسام
657,Sorong,ID,77.18,-0.8833,131.25,waigo splash hotel
658,Samarai,PG,78.35,-10.6167,150.6667,Nuli Sapi
663,Yanam,IN,75.56,16.7333,82.2167,The Regency Hotel
665,Siniscola,IT,80.15,40.5719,9.6922,Hotel Sa Tanca E Bore
666,Sinjar,IQ,88.02,36.3209,41.8754,زوماني فون 1
668,Miramar,US,87.03,25.9873,-80.2323,Miramar
669,Finschhafen,PG,77.61,-6.6024,147.8681,Cossam Guest House
673,Krishnagiri,IN,75.43,12.5333,78.2333,Alps Residency
674,Coari,BR,85.15,-4.085,-63.1414,HOTEL ALEX FLAT
676,Isla Mujeres,MX,86.54,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
677,Zhangye,CN,77.02,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
681,The Valley,AI,84.09,18.217,-63.0578,CeBlue Villas & Beach Resort
682,Lodwar,KE,85.91,3.1191,35.5973,Solmar Gracious Hotel
686,Kieta,PG,79.54,-6.2167,155.6333,Uruna Bay Retreat
