City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
603,Shenjiamen,CN,29.9576,122.298,78.33,93,100,8.14,overcast clouds
604,Shihezi,CN,44.3,86.0333,71.1,58,100,2.51,overcast clouds
605,Tommot,RU,58.9564,126.2925,62.11,80,25,2.73,scattered clouds
606,Concepcion Del Oro,MX,24.6333,-101.4167,75.16,36,67,5.48,broken clouds
607,Sarny,UA,51.338,26.6019,67.15,77,45,5.99,scattered clouds
608,Padang,ID,-0.9492,100.3543,77.32,86,98,3.74,overcast clouds
609,Mount Isa,AU,-20.7333,139.5,64.17,34,0,11.5,clear sky
610,Hongjiang,CN,27.11,109.9956,72.46,99,99,1.59,overcast clouds
611,Vestmannaeyjar,IS,63.4427,-20.2734,54.16,89,100,11.95,overcast clouds
612,Ishigaki,JP,24.3448,124.1572,83.3,80,7,15.26,clear sky
613,Selfoss,IS,63.9331,-20.9971,53.04,86,100,7.96,overcast clouds
614,Conakry,GN,9.538,-13.6773,76.35,84,100,1.88,light rain
615,Disna,BY,55.568,28.1971,56.82,94,7,6.62,clear sky
616,Susanville,US,40.4163,-120.653,96.82,19,1,1.01,haze
617,Belmonte,BR,-15.8631,-38.8828,73.9,78,0,6.76,clear sky
618,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,80.64,27,2,3.98,clear sky
619,Madras,IN,13.0878,80.2785,82.38,83,40,4.61,light intensity drizzle
620,Marathon,US,44.9,-89.7668,81.93,50,1,1.01,clear sky
621,Chapais,CA,49.7834,-74.8492,73.0,31,39,9.66,scattered clouds
622,Roma,US,43.2128,-75.4557,77.38,53,1,6.91,clear sky
623,Najran,SA,17.4924,44.1277,86.27,18,94,3.29,overcast clouds
624,Leua,SK,48.2156,18.6071,77.11,62,100,2.33,light rain
625,Gondanglegi,ID,-7.7479,112.0132,73.89,87,54,10.74,broken clouds
626,Barra,BR,-11.0894,-43.1417,80.15,37,43,5.61,scattered clouds
627,Rolla,US,37.9514,-91.7713,84.24,44,1,4.0,clear sky
628,Mirabad,AF,30.4362,61.8383,81.79,15,0,22.5,clear sky
629,Belaya Gora,RU,68.5333,146.4167,47.86,58,100,9.44,overcast clouds
630,Ligayan,PH,4.6533,119.4706,83.07,76,35,10.04,scattered clouds
631,Kilrush,IE,52.6397,-9.4833,56.95,84,31,15.39,scattered clouds
632,Panaba,MX,21.2833,-88.2667,80.76,79,97,8.55,overcast clouds
633,Bulanash,RU,57.2783,61.9965,57.85,84,12,4.38,few clouds
634,Tonantins,BR,-2.8731,-67.8022,81.93,70,100,0.6,overcast clouds
635,Yakovlevka,RU,44.425,133.4772,57.43,93,27,2.53,scattered clouds
636,Pereslavl-Zalesskiy,RU,56.7393,38.8563,60.49,93,88,7.34,light rain
637,Teguldet,RU,57.3064,88.1667,55.85,75,100,4.18,overcast clouds
638,Kudahuvadhoo,MV,2.6708,72.8944,82.13,73,74,15.9,broken clouds
639,Novogornyy,RU,55.63,60.7919,60.39,87,28,2.46,scattered clouds
640,Bontang,ID,0.1333,117.5,77.34,85,100,2.89,light rain
641,Eureka,US,40.8021,-124.1637,74.19,77,68,8.99,broken clouds
642,Latung,PH,5.5,120.8833,81.79,78,83,8.77,broken clouds
643,Gurupa,BR,-1.405,-51.64,80.67,73,81,1.12,broken clouds
644,Namatanai,PG,-3.6667,152.4333,79.61,81,79,5.86,light rain
645,Murray Bridge,AU,-35.1167,139.2667,54.37,77,58,9.22,broken clouds
646,Aras,ES,42.5617,-2.356,64.81,64,0,8.05,clear sky
647,Riyadh,SA,24.6877,46.7219,93.34,16,8,8.5,clear sky
648,Zhigansk,RU,66.7697,123.3711,48.88,66,100,4.29,overcast clouds
649,Neepawa,CA,50.2289,-99.4664,94.82,19,36,11.72,scattered clouds
650,Kilis,TR,36.7161,37.115,79.03,39,0,7.23,clear sky
651,Berlevag,NO,70.8578,29.0864,44.55,81,75,12.66,broken clouds
652,Sartell,US,45.6216,-94.2069,90.0,30,1,1.99,clear sky
653,Ballina,AU,-28.8667,153.5667,55.78,74,31,5.21,scattered clouds
654,Corrales,US,35.2378,-106.6067,92.39,32,40,1.01,scattered clouds
655,Shaki,AZ,41.0833,47.1667,66.51,36,43,6.42,scattered clouds
656,Kerman,IR,30.2832,57.0788,80.04,16,0,6.6,clear sky
657,Sorong,ID,-0.8833,131.25,77.18,84,100,1.21,overcast clouds
658,Samarai,PG,-10.6167,150.6667,78.35,84,54,14.81,broken clouds
659,Okhotsk,RU,59.3833,143.3,59.97,92,79,2.46,broken clouds
660,Sawakin,SD,19.1059,37.3321,92.62,47,100,5.77,overcast clouds
661,Sutton,GB,51.35,-0.2,64.62,80,0,5.99,clear sky
662,Odda,NO,60.0691,6.5457,55.78,94,100,0.78,overcast clouds
663,Yanam,IN,16.7333,82.2167,75.56,96,100,7.74,light rain
664,Tandil,AR,-37.3217,-59.1332,51.67,62,75,6.93,broken clouds
665,Siniscola,IT,40.5719,9.6922,80.15,57,2,3.04,clear sky
666,Sinjar,IQ,36.3209,41.8754,88.02,20,0,14.7,clear sky
667,Okahandja,NA,-21.9833,16.9167,62.83,27,1,4.14,clear sky
668,Miramar,US,25.9873,-80.2323,87.03,73,20,11.5,few clouds
669,Finschhafen,PG,-6.6024,147.8681,77.61,84,97,6.73,overcast clouds
670,Waipawa,NZ,-41.4122,175.5153,51.03,67,62,20.13,broken clouds
671,San Juan,AR,-31.5375,-68.5364,72.79,13,21,6.33,few clouds
672,Olinda,BR,-8.0089,-34.8553,74.93,64,40,13.8,scattered clouds
673,Krishnagiri,IN,12.5333,78.2333,75.43,74,98,11.25,overcast clouds
674,Coari,BR,-4.085,-63.1414,85.15,55,83,2.75,broken clouds
675,Maragogi,BR,-9.0122,-35.2225,73.9,74,78,10.47,broken clouds
676,Isla Mujeres,MX,21.2311,-86.731,86.54,68,14,15.86,few clouds
677,Zhangye,CN,38.9342,100.4517,77.02,35,33,5.55,scattered clouds
678,Coxim,BR,-18.5067,-54.76,92.23,19,0,5.79,clear sky
679,Juneau,US,58.3019,-134.4197,57.22,94,100,2.26,light rain
680,Terney,RU,45.0503,136.6092,59.65,83,28,1.59,scattered clouds
681,The Valley,AI,18.217,-63.0578,84.09,80,100,11.72,overcast clouds
682,Lodwar,KE,3.1191,35.5973,85.91,39,88,4.36,overcast clouds
683,New Iberia,US,30.0035,-91.8187,98.78,49,75,8.05,broken clouds
684,Tigil,RU,57.8,158.6667,56.64,84,94,11.61,overcast clouds
685,Ginda,IN,30.6945,78.4932,61.48,82,0,5.41,clear sky
686,Kieta,PG,-6.2167,155.6333,79.54,82,100,2.89,light rain
687,Udachnyy,RU,66.4167,112.4,52.07,81,100,4.12,overcast clouds
688,Moerai,PF,-22.4333,-151.3333,72.34,74,82,10.2,broken clouds
